DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,05090301,025728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO
20200515,05190001,025172,SMARTPHONE LG K9 TV LM-X210BMW PRETO
20200515,99DL9N01,026243,SUPORTE UNIV. BEDIN BU-25
20200515,05992701,026574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO
20200515,37578201,025367,TABLET NB729 MINI MS40G BRANCO
20200515,23210301,025728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO
20200515,93168801,025354,TELEVISOR SMART 32 UN32J4290 SAMSUNG
20200515,77254401,022620,CELULAR RIU-I R200 DB BRANCO-ROSA
20200515,62982901,026584,SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB CEREJA
20200515,61397001,021854,CELULAR BLU JENNY 2.8 T276 DB PRETO-AZUL
20200515,54509401,021647,DVD D-15 KARAOKE MONDIAL
20200515,95783001,025246,PEN DRIVE PD590 64GB TWIST PRETO
20200515,64669701,025996,TELEVISOR 32 32S6500S HD LED SEMP TCL
20200515,99EOOG01,025172,SMARTPHONE LG K9 TV LM-X210BMW PRETO
20200515,99DQI601,025172,SMARTPHONE LG K9 TV LM-X210BMW PRETO
20200516,05090301,025172,SMARTPHONE LG K9 TV LM-X210BMW PRETO
20200516,05190001,025728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO
20200516,99DL9N01,025354,TELEVISOR SMART 32 UN32J4290 SAMSUNG
20200516,23210301,025246,PEN DRIVE PD590 64GB TWIST PRETO
20200516,93168801,026243,SUPORTE UNIV. BEDIN BU-25
